Product_ID,Season,Year,Seasonal_Forecast
P0016,Spring,2022,3299.800033569336
P0016,Winter,2022,43416.659967422485
P0017,Spring,2022,3214.2299842834473
P0017,Winter,2022,31633.76999282837
P0031,Spring,2022,3039.649995803833
P0031,Winter,2022,30556.450028419495
P0046,Spring,2022,3093.280002593994
P0046,Winter,2022,43625.80000400543
P0057,Spring,2022,3268.8599967956543
P0057,Winter,2022,43393.0200881958
P0061,Spring,2022,3285.3100051879883
P0061,Winter,2022,43639.04001045227
P0066,Spring,2022,3010.7000045776367
P0066,Winter,2022,43926.63004684448
P0067,Spring,2022,3481.3699913024902
P0067,Winter,2022,31235.870000839233
P0068,Spring,2022,2826.3699951171875
P0068,Winter,2022,28874.050004959106
P0069,Spring,2022,3125.630012512207
P0069,Winter,2022,43119.089988708496
P0070,Spring,2022,3497.180009841919
P0070,Winter,2022,29385.07010269165
P0079,Spring,2022,3087.3500061035156
P0079,Winter,2022,31456.400025606155
P0083,Spring,2022,3393.9500045776367
P0083,Winter,2022,32363.420035362244
P0085,Spring,2022,2775.42000579834
P0085,Winter,2022,29409.43003463745
P0094,Spring,2022,3069.9100036621094
P0094,Winter,2022,31231.849990844727
P0096,Spring,2022,3133.2500038146973
P0096,Winter,2022,31150.189958572388
P0116,Spring,2022,2903.879985809326
P0116,Winter,2022,31327.349942207336
P0125,Spring,2022,3089.0300006866455
P0125,Winter,2022,43619.04004573822
P0126,Spring,2022,3253.779987335205
P0126,Winter,2022,44060.38992500305
P0129,Spring,2022,3259.7299995422363
P0129,Winter,2022,30622.26992559433
P0133,Spring,2022,2966.279999732971
P0133,Winter,2022,43502.329986572266
P0149,Spring,2022,3193.389995574951
P0149,Winter,2022,32229.769960403442
P0153,Spring,2022,3329.459972381592
P0153,Winter,2022,31391.679990768433
P0159,Spring,2022,3259.2299995422363
P0159,Winter,2022,29663.51993370056
P0166,Spring,2022,3167.1899909973145
P0166,Winter,2022,30833.35001182556
P0171,Spring,2022,3451.789993286133
P0171,Winter,2022,31141.13997077942
P0175,Spring,2022,3063.53999710083
P0175,Winter,2022,29191.260019302368
P0178,Spring,2022,3049.4600048065186
P0178,Winter,2022,43970.25008773804
P0183,Spring,2022,3003.5999794006348
P0183,Winter,2022,29314.820039749146
P0187,Spring,2022,3350.260015487671
P0187,Winter,2022,44554.600025177
